Category,Sub-Category,Sub Sub-Category,Twitter Username
 brands,accommodation,No Sub Sub-Category,fiestainn
 brands,accommodation,No Sub Sub-Category,fiestamericana
 brands,accommodation,No Sub Sub-Category,DreamsResorts
 brands,accommodation,No Sub Sub-Category,GRUPOHABITA
 brands,accommodation,No Sub Sub-Category,CaminoReal
 brands,accommodation,No Sub Sub-Category,onehoteles
 brands,accommodation,No Sub Sub-Category,StRegisPMita
 brands,accommodation,No Sub Sub-Category,Hoteles_Mision
 brands,accommodation,No Sub Sub-Category,FSPuntaMita
 brands,accommodation,No Sub Sub-Category,Karismahotels
 brands,airlines,No Sub Sub-Category,viajaVolaris
 brands,airlines,No Sub Sub-Category,AeroMexico
 brands,airlines,No Sub Sub-Category,VivaAerobus
 brands,airlines,No Sub Sub-Category,interjet
 brands,airlines,No Sub Sub-Category,AM_Escucha
 brands,airlines,No Sub Sub-Category,interjet_mx
 brands,airlines,No Sub Sub-Category,flyvolaris
 brands,airlines,No Sub Sub-Category,AirFranceMX
 brands,airlines,No Sub Sub-Category,TAR_mx
 brands,airlines,No Sub Sub-Category,AeromarMX
 brands,alcohol,beer,VictoriaMx_
 brands,alcohol,beer,cervezaindio
 brands,alcohol,beer,CervezaModeloMX
 brands,alcohol,beer,BudLightMEX
 brands,alcohol,beer,CervezaTecate
 brands,alcohol,beer,CartaBlancaMx
 brands,alcohol,beer,NegraModelo
 brands,alcohol,beer,CervezaSol
 brands,alcohol,beer,Heineken_MX
 brands,alcohol,beer,DosEquisMx
 brands,alcohol,spirits,JohnnieWalkerMx
 brands,alcohol,spirits,captainmorganmx
 brands,alcohol,spirits,BacardiMX
 brands,alcohol,spirits,BuchanansMexico
 brands,alcohol,spirits,zignummezcal
 brands,alcohol,spirits,azul_centenario
 brands,alcohol,spirits,absolutmexico
 brands,alcohol,spirits,jagerMX
 brands,alcohol,spirits,TorresMx_
 brands,alcohol,spirits,JB_Mex
 brands,alcohol,wine,vinoteca_mexico
 brands,alcohol,wine,VinosLACetto
 brands,alcohol,wine,FreixenetMX
 brands,alcohol,wine,BoonesLat
 brands,alcohol,wine,SomersbyMX
 brands,alcohol,wine,Strongbowgoldmx
 brands,auto,No Sub Sub-Category,Volkswagen_MX
 brands,auto,No Sub Sub-Category,Nissan_mx
 brands,auto,No Sub Sub-Category,SEAT_Mexico
 brands,auto,No Sub Sub-Category,AudideMexico
 brands,auto,No Sub Sub-Category,ChevroletMexico
 brands,auto,No Sub Sub-Category,FordMX
 brands,auto,No Sub Sub-Category,MercedesBenzMx
 brands,auto,No Sub Sub-Category,HondaMexico
 brands,auto,No Sub Sub-Category,ToyotaMex
 brands,auto,No Sub Sub-Category,DodgeMX
 brands,beauty,hygiene,PrudenceMexico
 brands,beauty,hygiene,KotexMx
 brands,beauty,hygiene,sicomx
 brands,beauty,hygiene,huggiesmexico
 brands,beauty,hygiene,Saba_mx
 brands,beauty,hygiene,ListerineMX
 brands,beauty,hygiene,pbcondoms_mx
 brands,beauty,hygiene,BenzalMX
 brands,beauty,hygiene,AlwaysMX
 brands,beauty,hygiene,KleenexMx
 brands,beverages,coffee-tea,NescafeMX
 brands,beverages,coffee-tea,cpuntadelcielo
 brands,beverages,coffee-tea,CoffeeMateMex
 brands,beverages,coffee-tea,abuelitamx
 brands,beverages,coffee-tea,NespressoMX
 brands,beverages,coffee-tea,CafeOle_
 brands,beverages,coffee-tea,cafe_BLASON
 brands,beverages,coffee-tea,garcomex
 brands,beverages,soft-drink,CocaColaMx
 brands,beverages,soft-drink,PepsiMEX
 brands,beverages,soft-drink,FUZEteaMx
 brands,beverages,soft-drink,redbullMEX
 brands,beverages,soft-drink,CocaColaFM
 brands,beverages,soft-drink,gatorademex
 brands,beverages,soft-drink,CocaColaZeroMx
 brands,beverages,soft-drink,SpriteMx
 brands,beverages,soft-drink,PoweradeMx
 brands,beverages,soft-drink,MonsterEnergyMx
 brands,beverages,water,zoe_water
 brands,beverages,water,cielmx
 brands,beverages,water,PerrierMX
 brands,beverages,water,BonafontMexico
 brands,beverages,water,BonafontACasa
 brands,beverages,water,spellegrino_mx
 brands,conglomerate,No Sub Sub-Category,Grupo_Carso
 brands,conglomerate,No Sub Sub-Category,GrupoEmpAngeles
 brands,ecommerce,e-shop,SHOPATIA
 brands,ecommerce,e-shop,QUIUBOLEE
 brands,ecommerce,e-shop,BestBuyMexico
 brands,ecommerce,e-shop,LinioMexico
 brands,ecommerce,e-shop,amazonmex
 brands,ecommerce,e-shop,ebay_Mexico
 brands,ecommerce,e-shop,PriceShoes
 brands,ecommerce,e-shop,Netshoes_MEX
 brands,ecommerce,e-shop,Libros_G
 brands,ecommerce,e-shop,Kichink
 brands,ecommerce,travel-booking,HotelesCom
 brands,ecommerce,travel-booking,DespegarMx
 brands,ecommerce,travel-booking,Travelocity_MX
 brands,ecommerce,travel-booking,KivacMX
 brands,ecommerce,travel-booking,ExpediaMX
 brands,ecommerce,travel-booking,trivago_mx
 brands,electronics,appliance,Mabe
 brands,electronics,appliance,frigidairemx
 brands,electronics,appliance,SanRemoLatin
 brands,electronics,computer,HPMexico
 brands,electronics,computer,MXASUS
 brands,electronics,computer,acer_mexico
 brands,electronics,computer,HPenterpriseMX
 brands,electronics,computer,AlienwareMexico
 brands,electronics,computer,DeII_Mexico
 brands,electronics,phone,samsungmobilemx
 brands,electronics,phone,Motorola_MX
 brands,electronics,phone,LumiaMexico
 brands,electronics,phone,sonyxperiamx
 brands,electronics,phone,HuaweiDeviceMx
 brands,electronics,phone,HTCMexico
 brands,electronics,phone,LanixMobileMX
 brands,electronics,phone,ZTE_Mx
 brands,electronics,phone,OPPOMexico
 brands,electronics,phone,ZTEMEX
 brands,fmcg-corporate,No Sub Sub-Category,recetasnestle
 brands,fmcg-corporate,No Sub Sub-Category,Grupo_Bimbo
 brands,fmcg-corporate,No Sub Sub-Category,FEMSA
